parent_channel,rank,gap_start,gap_end,gap_hours
sports-isolation-zone,4,2024-07-15T17:27:29.891000+00:00,2024-07-28T17:00:47.175000+00:00,311.55
sports-isolation-zone,5,2025-12-20T20:22:29.262000+00:00,2026-01-02T04:25:21.226000+00:00,296.05
suggestions,1,2025-02-27T18:25:51.293000+00:00,2025-05-03T06:51:18.904000+00:00,1548.42
suggestions,2,2024-02-17T08:40:49.925000+00:00,2024-04-12T21:09:55.077000+00:00,1332.48
suggestions,3,2024-08-05T06:07:01.314000+00:00,2024-09-28T21:51:46.410000+00:00,1311.75
suggestions,4,2022-03-19T10:04:57.437000+00:00,2022-05-04T14:27:56.501000+00:00,1108.38
suggestions,5,2023-08-27T06:56:42.741000+00:00,2023-10-12T06:29:43.424000+00:00,1103.55
summeringo,1,2023-07-25T19:25:55.448000+00:00,2023-07-27T09:46:45.758000+00:00,38.35
summeringo,2,2023-07-23T02:18:13.135000+00:00,2023-07-24T11:46:32.992000+00:00,33.47
summeringo,3,2023-07-21T16:55:50.282000+00:00,2023-07-23T02:04:38.078000+00:00,33.15
summeringo,4,2023-07-25T01:35:26.653000+00:00,2023-07-25T16:37:09.069000+00:00,15.03
summeringo,5,2023-07-21T01:44:33.752000+00:00,2023-07-21T15:00:19.154000+00:00,13.26
summeringo-proof,1,2023-07-28T06:54:36.310000+00:00,2023-07-28T20:00:35.672000+00:00,13.1
summeringo-proof,2,2023-07-26T14:55:24.885000+00:00,2023-07-27T01:10:58.484000+00:00,10.26
summeringo-proof,3,2023-07-26T06:55:32.840000+00:00,2023-07-26T14:55:24.885000+00:00,8.0
summeringo-proof,4,2023-07-31T02:59:30.675000+00:00,2023-07-31T10:33:19.386000+00:00,7.56
summeringo-proof,5,2023-07-30T01:02:33.513000+00:00,2023-07-30T08:10:52.260000+00:00,7.14
text-for-vc,1,2023-07-16T19:23:11.524000+00:00,2023-08-05T19:12:05.716000+00:00,479.82
text-for-vc,2,2023-08-05T21:26:30.884000+00:00,2023-08-20T21:03:16.327000+00:00,359.61
text-for-vc,3,2022-04-28T19:22:31.186000+00:00,2022-05-13T17:21:25.986000+00:00,357.98
text-for-vc,4,2022-03-21T01:06:46.575000+00:00,2022-04-02T20:59:02.490000+00:00,307.87
text-for-vc,5,2022-07-11T23:00:20.841000+00:00,2022-07-23T20:46:07.800000+00:00,285.76
town-hall,1,2022-08-07T14:44:48.733000+00:00,2022-09-30T04:25:39.320000+00:00,1285.68
town-hall,2,2025-08-19T12:25:20.836000+00:00,2025-10-06T21:27:22.887000+00:00,1161.03
town-hall,3,2021-07-14T22:21:47.732000+00:00,2021-08-27T12:45:15.931000+00:00,1046.39
town-hall,4,2025-05-06T13:57:09.188000+00:00,2025-06-15T09:24:14.855000+00:00,955.45
town-hall,5,2024-10-13T09:35:03.320000+00:00,2024-11-19T21:36:48.623000+00:00,900.03
trade-chat,1,2025-03-26T13:06:41.975000+00:00,2025-05-12T16:58:44.728000+00:00,1131.87
trade-chat,2,2025-02-14T00:52:23.162000+00:00,2025-03-26T10:46:48.271000+00:00,969.91
trade-chat,3,2025-01-03T00:31:31.882000+00:00,2025-01-18T03:41:59.194000+00:00,363.17
trade-chat,4,2025-01-20T15:17:08.649000+00:00,2025-01-31T18:21:02.303000+00:00,267.06
trade-chat,5,2025-05-12T16:58:44.728000+00:00,2025-05-23T07:11:17.273000+00:00,254.21
usernames,1,2026-05-30T07:00:32.814000+00:00,2026-06-12T18:36:49.926000+00:00,323.6
usernames,2,2024-10-18T18:38:43.901000+00:00,2024-10-28T07:09:33.506000+00:00,228.51
usernames,3,2024-07-30T19:54:31.430000+00:00,2024-08-08T21:38:25.767000+00:00,217.73
usernames,4,2024-09-07T23:01:19.871000+00:00,2024-09-16T22:12:26.285000+00:00,215.19
usernames,5,2025-03-04T09:40:09.799000+00:00,2025-03-13T08:31:44.650000+00:00,214.86
vc_greatest_hits,1,2023-10-23T18:57:39.928000+00:00,2026-02-26T05:52:24.547000+00:00,20554.91
vc_greatest_hits,2,2022-10-29T04:28:31.501000+00:00,2023-04-02T08:12:54.156000+00:00,3723.74
vc_greatest_hits,3,2023-07-15T21:32:39.878000+00:00,2023-10-22T19:08:39.013000+00:00,2373.6
vc_greatest_hits,4,2026-04-21T21:34:16.212000+00:00,2026-07-09T20:38:56.170000+00:00,1895.08
vc_greatest_hits,5,2022-07-31T00:19:46.561000+00:00,2022-10-16T05:48:55.717000+00:00,1853.49
welcome,1,2022-01-21T03:04:33.267000+00:00,2022-01-21T03:04:51.461000+00:00,0.01
welcome,2,2022-01-21T03:04:51.461000+00:00,2022-01-21T03:05:08.445000+00:00,0.0
welcome,3,2022-01-21T03:05:08.445000+00:00,2022-01-21T03:05:22.132000+00:00,0.0
welcome,4,2022-01-21T03:05:22.132000+00:00,2022-01-21T03:05:32.606000+00:00,0.0
